时间,纺织服装、服饰业出口交货值_当期值,纺织服装、服饰业出口交货值_累计值,纺织服装、服饰业出口交货值_同比增长,纺织服装、服饰业出口交货值_累计增长
2025年5月,235.9,1077.8,-2.0,3.3
2025年4月,212.7,842.6,2.4,4.6
2025年3月,215.8,622.8,7.2,4.7
2024年12月,272.6,2905.7,12.8,4.9
2024年11月,251.6,2640.3,8.2,4.4
2024年10月,251.4,2381.6,10.1,3.6
2024年9月,264.7,2125.7,4.5,2.5
2024年8月,277.5,1859.4,2.4,2.2
2024年7月,278.2,1580.7,4.3,2.4
2024年6月,266.8,1301.6,0.2,1.6
2025年2月,,406.4,,4.0
