时间,金银珠宝类商品零售类值_当期值,金银珠宝类商品零售类值_累计值,金银珠宝类商品零售类值_同比增长,金银珠宝类商品零售类值_累计增长
2025年6月,286.8,1947.6,6.1,11.3
2025年5月,299.5,1663.7,21.8,12.3
2025年4月,296.5,1369.1,25.3,10.4
2025年3月,324.8,1079.7,10.6,6.9
2025年2月,,754.7,,5.4
2024年9月,263.6,2453.9,-7.8,-3.1
2024年8月,257.2,2185.9,-12.0,-2.5
2024年7月,200.1,1928.8,-10.4,-1.0
2024年6月,261.9,1724.6,-3.7,0.2
2024年12月,309.8,3299.8,-1.0,-3.1
2024年11月,268.2,2997.3,-5.9,-3.3
2024年10月,263.5,2720.1,-2.7,-3.0
