时间,蚕丝及交织机织物（含蚕丝≥30％）产量_当期值,蚕丝及交织机织物（含蚕丝≥30％）产量_累计值,蚕丝及交织机织物（含蚕丝≥30％）产量_同比增长,蚕丝及交织机织物（含蚕丝≥30％）产量_累计增长
2025年5月,2177.2,9857.7,-6.2,-5.8
2025年4月,2088.5,7678.6,-6.9,-3.8
2025年3月,2359.8,5770.5,6.2,1.0
2024年12月,2811.6,26872.3,18.5,6.2
2024年11月,2632.4,24064.7,10.2,5.0
2024年10月,2114.8,21162.5,-7.5,3.1
2024年9月,2138.4,18811.4,-2.4,3.7
2024年8月,1943.1,16430.3,-14.7,2.9
2024年7月,2065.6,14458.1,-9.6,7.8
2024年6月,2355.8,12581.5,6.0,11.5
2025年2月,,3303.2,,-5.7
