时间,鲜、冷藏肉产量_当期值,鲜、冷藏肉产量_累计值,鲜、冷藏肉产量_同比增长,鲜、冷藏肉产量_累计增长
2025年6月,394.0,2140.5,16.3,11.8
2025年5月,372.6,1743.3,13.4,10.7
2025年4月,349.9,1372.4,11.5,9.9
2025年3月,380.8,1038.8,9.1,8.5
2025年2月,,660.0,,7.5
2024年9月,337.2,2808.2,1.2,0.2
2024年8月,309.6,2485.8,-1.7,1.1
2024年7月,311.3,2183.1,-4.9,1.8
2024年6月,334.1,1882.6,-2.2,2.2
2024年12月,403.8,3968.3,2.8,-0.7
2024年11月,354.6,3532.6,0.4,-0.9
2024年10月,332.1,3137.7,-2.4,-0.8
