时间,印刷工业生产者出厂价格指数(上年同月=100),装订及印刷相关服务工业生产者出厂价格指数(上年同月=100)
2025年6月,98.6,95.1
2025年5月,98.5,95.1
2025年4月,98.6,95.1
2025年3月,98.4,95.1
2025年2月,98.4,95.1
2025年1月,98.5,95.1
2024年12月,98.9,95.1
2024年11月,98.6,100.0
2024年10月,98.6,98.5
2024年9月,98.3,98.4
2024年8月,98.7,98.3
2024年7月,98.5,98.3
2024年6月,98.1,98.5
