时间,民用钢质船舶产量_当期值,民用钢质船舶产量_累计值,民用钢质船舶产量_同比增长,民用钢质船舶产量_累计增长
2025年6月,457.12791,2435.54939,6.2,9.4
2025年5月,394.0,1935.7,17.3,7.8
2025年4月,478.7,1592.3,21.8,9.1
2025年3月,433.59927,1212.25691,24.3,12.7
2025年2月,,776.6,,8.8
2024年9月,318.71386,2971.15288,5.6,10.8
2024年8月,315.30544,2650.59077,-4.4,10.9
2024年7月,298.6437,2337.07392,22.6,14.2
2024年6月,404.94246,2025.75878,2.3,13.3
2024年12月,309.12716,4011.352,18.3,17.0
2024年11月,365.598,3692.31701,36.4,15.2
2024年10月,346.85905,3326.6977,23.1,13.0
