时间,建筑业总产值_累计值,装饰装修产值_累计值,在外省完成的产值_累计值,建筑工程产值_累计值,安装工程产值_累计值,其他产值_累计值,建筑业竣工产值_累计值
2025年第二季度,136745.42,5972.93,42509.84,121292.78,11311.09,4141.55,46420.21
2025年第一季度,57723.15,2622.85,17843.18,50909.08,5024.58,1789.5,21301.57
2024年第四季度,326501.11,14061.93,111292.73,289683.4,26993.0,9824.7,135238.8
2024年第二季度,138311.86,5728.56,47541.87,123047.29,11227.44,4037.13,48231.89
2024年第三季度,217410.53,9251.17,75078.45,193521.14,17616.93,6272.46,77682.11
2024年第一季度,56671.08,2584.22,18643.42,49884.85,4981.7,1804.52,22087.41
