时间,钢筋产量_当期值,钢筋产量_累计值,钢筋产量_同比增长,钢筋产量_累计增长
2025年5月,1688.4,8228.3,-6.0,-1.6
2025年4月,1730.0,6538.5,5.9,-0.9
2025年3月,1861.1,4810.7,5.6,-2.9
2024年12月,1614.0,19505.8,-8.8,-13.6
2024年11月,1674.5,17933.3,-6.6,-13.4
2024年10月,1771.6,16281.3,-1.9,-14.3
2024年9月,1531.4,14505.6,-16.6,-15.7
2024年8月,1255.3,12968.5,-32.3,-15.7
2024年7月,1564.5,11721.1,-21.6,-13.4
2024年6月,1824.0,10235.3,-10.1,-11.7
2025年2月,,2947.4,,-7.5
