时间,服务业生产指数_当月同比增速,服务业生产指数_累计同比增速
2025年5月,6.2,5.9
2025年4月,6.0,5.9
2025年3月,6.3,5.8
2024年12月,6.5,5.2
2024年11月,6.1,5.1
2024年10月,6.3,5.0
2024年9月,5.1,4.9
2024年8月,4.6,4.9
2024年7月,4.8,4.9
2024年6月,4.7,4.9
2025年2月,,5.6
