时间,仪器仪表制造业出口交货值_同比增长
2025年5月,16.5
2025年4月,14.3
2025年3月,17.2
2024年12月,30.9
2024年11月,19.8
2024年10月,18.2
2024年9月,17.4
2024年8月,11.7
2024年7月,16.7
2024年6月,7.0
