时间,化学纤维产量_当期值,化学纤维产量_累计值,化学纤维产量_同比增长,化学纤维产量_累计增长
2025年5月,734.9,3503.7,5.2,5.5
2025年4月,730.2,2780.7,5.3,5.7
2025年3月,771.06545,2062.56736,6.3,6.5
2024年12月,697.15261,7910.83056,5.5,9.7
2024年11月,677.28786,7218.14427,2.3,8.7
2024年10月,689.45118,6564.27635,4.1,9.1
2024年9月,670.45689,5859.95902,2.7,9.5
2024年8月,659.64537,5203.73425,0.9,10.6
2024年7月,668.82598,4539.86595,3.1,11.8
2024年6月,676.7795,3884.60588,3.0,13.2
2025年2月,,1290.7,,5.6
