时间,纤维素纤维原料及纤维制造工业生产者出厂价格指数(上年同月=100),合成纤维制造工业生产者出厂价格指数(上年同月=100),生物基材料制造工业生产者出厂价格指数(上年同月=100)
2025年6月,94.6,91.6,98.2
2025年5月,95.4,91.6,98.2
2025年4月,95.6,92.8,98.2
2025年3月,97.1,94.7,97.6
2025年2月,97.9,95.5,97.5
2025年1月,98.9,95.9,97.8
2024年12月,99.8,96.2,97.8
2024年11月,100.7,97.1,102.1
2024年10月,100.6,96.7,98.9
2024年9月,100.0,97.4,102.7
2024年8月,102.0,100.4,105.5
2024年7月,100.7,101.4,104.2
2024年6月,100.7,100.2,104.2
