时间,夹层玻璃产量_当期值,夹层玻璃产量_累计值,夹层玻璃产量_同比增长,夹层玻璃产量_累计增长
2025年5月,1284.8,6382.2,0.4,6.3
2025年4月,1256.9,5091.5,7.9,8.1
2025年3月,1413.9,3850.7,6.8,8.4
2024年12月,1686.6,15765.1,13.7,5.0
2024年11月,1497.5,14041.6,10.5,7.8
2024年10月,1463.7,12749.6,8.7,6.3
2024年9月,1367.9,11207.7,3.2,5.6
2024年8月,1337.0,9611.5,6.2,3.3
2024年7月,1325.0,8712.6,9.1,8.0
2024年6月,1280.6,7188.3,-3.4,5.0
2025年2月,,2366.5,,9.2
