时间,国家财政支出(不含债务还本)_累计值,国家财政支出(不含债务还本)_累计增长
2025年5月,112953.0,4.2
2025年4月,93581.0,4.6
2025年3月,72815.0,4.2
2025年2月,45096.0,3.4
2024年12月,284612.0,3.6
2024年11月,245053.0,2.8
2024年10月,221465.0,2.7
2024年9月,201779.0,2.0
2024年8月,173898.0,1.5
2024年7月,155463.0,2.5
2024年6月,136571.0,2.0
