时间,生产资料工业生产者出厂价格指数(上年同期=100),采掘业生产资料工业生产者出厂价格指数(上年同期=100),原料业生产资料工业生产者出厂价格指数(上年同期=100),加工业生产资料工业生产者出厂价格指数(上年同期=100)
2025年6月,96.8,91.0,96.6,97.3
2025年5月,97.0,91.8,97.0,97.4
2025年4月,97.3,92.8,97.7,97.4
2025年3月,97.4,93.5,98.1,97.4
2025年2月,97.4,94.4,98.3,97.3
2025年1月,97.4,95.1,98.1,97.3
2024年9月,97.6,97.8,98.8,97.1
2024年8月,97.7,97.8,99.1,97.2
2024年7月,97.7,97.4,99.0,97.1
2024年6月,97.4,96.4,98.6,97.0
2024年12月,97.5,97.1,98.3,97.1
2024年11月,97.5,97.3,98.4,97.1
2024年10月,97.5,97.5,98.5,97.1
