时间,烟草制品业出口交货值_当期值,烟草制品业出口交货值_累计值,烟草制品业出口交货值_同比增长,烟草制品业出口交货值_累计增长
2025年5月,8.4,31.7,4.5,-9.6
2025年4月,6.4,23.0,-11.5,-14.4
2025年3月,6.8,16.6,3.8,-15.7
2024年12月,11.4,96.0,-3.9,3.3
2024年11月,8.7,83.7,-7.1,3.0
2024年10月,7.0,74.9,-19.8,4.5
2024年9月,8.1,67.9,-5.9,7.9
2024年8月,8.5,59.8,6.4,10.1
2024年7月,8.4,51.3,-10.0,11.2
2024年6月,8.4,43.0,6.8,16.5
2025年2月,,9.7,,-25.3
