时间,核能发电量_当期值,核能发电量_累计值,核能发电量_同比增长,核能发电量_累计增长
2025年6月,393.6,2362.8,10.3,11.3
2025年5月,384.3,1969.2,6.7,11.5
2025年4月,411.1,1584.9,12.4,12.7
2025年3月,428.2,1173.8,23.0,12.8
2025年2月,,745.6,,7.7
2024年9月,355.1,3275.5,2.8,1.5
2024年8月,402.1,2920.4,4.9,1.3
2024年7月,396.7,2518.2,4.3,0.8
2024年6月,356.5,2121.5,-4.0,0.1
2024年12月,423.9,4449.0,11.4,2.7
2024年11月,375.8,4025.2,3.1,1.9
2024年10月,367.3,3642.8,2.2,1.5
