时间,非金属矿物制品业出口交货值_当期值,非金属矿物制品业出口交货值_累计值,非金属矿物制品业出口交货值_同比增长,非金属矿物制品业出口交货值_累计增长
2025年5月,154.9,723.3,6.4,8.2
2025年4月,149.8,565.5,7.4,7.9
2025年3月,150.7,412.9,6.2,6.5
2024年12月,161.7,1721.7,8.1,3.9
2024年11月,155.5,1564.6,7.0,3.7
2024年10月,143.5,1425.8,3.8,4.0
2024年9月,146.3,1270.9,0.9,3.2
2024年8月,147.9,1124.2,6.2,3.4
2024年7月,152.3,974.7,5.4,2.0
2024年6月,154.1,822.9,4.4,2.2
2025年2月,,264.9,,8.5
