时间,电力生产工业生产者出厂价格指数(上年同月=100),电力供应工业生产者出厂价格指数(上年同月=100),热力生产和供应工业生产者出厂价格指数(上年同月=100)
2025年6月,98.8,98.5,99.4
2025年5月,99.4,97.9,99.7
2025年4月,98.5,98.3,100.3
2025年3月,98.7,97.8,100.4
2025年2月,98.5,99.6,100.6
2025年1月,97.6,98.9,100.8
2024年9月,97.8,97.7,99.5
2024年8月,97.1,98.2,99.5
2024年7月,97.5,98.4,99.0
2024年6月,97.9,98.0,98.6
2024年12月,98.7,99.6,100.3
2024年11月,99.1,99.1,99.7
2024年10月,98.1,98.1,99.5
