时间,仪器仪表制造业出口交货值_当期值
2025年6月,146.4
2025年5月,146.8
2025年4月,139.6
2025年3月,141.3
2024年9月,146.8
2024年8月,141.4
2024年7月,134.9
2024年6月,138.4
2024年12月,172.3
2024年11月,148.4
2024年10月,128.7
