时间,焊接钢管产量_当期值,焊接钢管产量_累计值,焊接钢管产量_同比增长,焊接钢管产量_累计增长
2025年6月,573.7,2970.8,8.4,4.4
2025年5月,546.3,2392.2,-1.4,4.2
2025年4月,544.3,1841.8,-0.1,7.0
2025年3月,626.6,1391.1,11.2,16.7
2025年2月,,753.8,,16.5
2024年9月,540.6,4399.5,-8.0,-9.4
2024年8月,488.3,3872.9,-13.2,-9.3
2024年7月,505.1,3375.3,-10.6,-8.9
2024年6月,536.7,2851.0,-11.9,-8.3
2024年12月,541.4,6050.7,-2.4,-7.9
2024年11月,543.5,5530.1,-7.0,-8.6
2024年10月,479.2,4874.1,-14.8,-10.6
