时间,水力发电量_当期值,水力发电量_累计值,水力发电量_同比增长,水力发电量_累计增长
2025年6月,1391.0,5397.9,-4.0,-2.9
2025年5月,991.1,4001.2,-14.3,-2.5
2025年4月,786.2,3012.4,-6.5,2.2
2025年3月,781.3,2233.3,9.5,5.9
2025年2月,,1461.1,,4.5
2024年9月,1199.3,10039.7,-14.6,16.0
2024年8月,1634.7,8822.0,10.7,21.7
2024年7月,1664.5,7188.0,36.2,24.5
2024年6月,1437.6,5525.8,44.5,21.4
2024年12月,827.2,12742.5,5.5,10.7
2024年11月,822.7,11926.3,-1.9,11.2
2024年10月,1049.2,11100.7,-14.9,12.2
