时间,电梯、自动扶梯及升降机产量_当期值,电梯、自动扶梯及升降机产量_累计值,电梯、自动扶梯及升降机产量_同比增长,电梯、自动扶梯及升降机产量_累计增长
2025年5月,12.4,51.7,-8.1,-6.5
2025年4月,11.9,39.0,-8.5,-6.9
2025年3月,13.0,27.2,-1.5,-5.6
2024年12月,13.9,149.2,-5.4,-8.0
2024年11月,12.8,134.9,-9.2,-8.2
2024年10月,11.3,121.8,-7.4,-8.1
2024年9月,13.3,110.7,-5.7,-8.1
2024年8月,12.8,97.4,-15.2,-8.4
2024年7月,11.8,80.7,-12.6,-9.2
2024年6月,14.6,69.8,-8.8,-7.9
2025年2月,,14.2,,-7.2
