时间,水泥产量_当期值,水泥产量_累计值,水泥产量_同比增长,水泥产量_累计增长
2025年5月,16499.7,65939.3,-8.1,-4.0
2025年4月,16529.6,49538.6,-5.3,-2.8
2025年3月,15787.45232,33115.79401,2.5,-1.4
2024年12月,15511.75233,182523.70134,-2.0,-9.5
2024年11月,16933.48682,167067.54686,-10.7,-10.1
2024年10月,17498.35313,150115.96653,-7.9,-10.3
2024年9月,16847.25171,132669.82898,-10.3,-10.7
2024年8月,15762.93095,115906.71167,-11.9,-10.7
2024年7月,15367.98513,100145.44007,-12.4,-10.5
2024年6月,16396.98779,85046.76281,-10.7,-10.0
2025年2月,,17098.7,,-5.7
