时间,载货汽车产量_当期值,载货汽车产量_累计值,载货汽车产量_同比增长,载货汽车产量_累计增长
2025年6月,32.7,188.6,7.9,5.5
2025年5月,30.6,156.0,9.3,5.1
2025年4月,32.1,125.4,0.9,4.1
2025年3月,39.7,93.3,2.8,5.2
2025年2月,,53.1,,7.7
2024年9月,23.2,239.6,-21.9,-2.4
2024年8月,23.2,216.4,-7.9,0.1
2024年7月,22.3,193.3,-2.2,1.4
2024年6月,28.7,171.0,-0.7,1.9
2024年12月,29.0,317.0,-1.4,-6.8
2024年11月,26.2,288.0,-19.6,-7.3
2024年10月,22.7,262.6,-30.4,-5.6
