时间,医药制造业出口交货值_当期值,医药制造业出口交货值_累计值,医药制造业出口交货值_同比增长,医药制造业出口交货值_累计增长
2025年6月,195.3,1149.3,-4.7,10.7
2025年5月,201.9,953.5,20.8,13.9
2025年4月,183.0,747.0,9.4,11.7
2025年3月,215.4,564.1,13.4,12.6
2025年2月,,347.9,,12.7
2024年9月,193.0,1569.2,6.4,5.1
2024年8月,166.9,1376.1,9.0,5.0
2024年7月,170.7,1208.1,13.7,4.5
2024年6月,204.6,1038.0,10.6,2.7
2024年12月,233.1,2153.3,11.6,7.3
2024年11月,186.7,1917.7,11.3,6.6
2024年10月,172.3,1740.9,25.8,6.6
