时间,橡胶制品业工业生产者出厂价格指数(上年同月=100),塑料制品业工业生产者出厂价格指数(上年同月=100)
2025年6月,98.9,97.5
2025年5月,99.4,97.7
2025年4月,99.5,97.8
2025年3月,99.7,98.1
2025年2月,99.5,98.2
2025年1月,99.6,98.2
2024年12月,99.2,98.1
2024年11月,99.3,97.9
2024年10月,99.2,97.7
2024年9月,99.1,98.0
2024年8月,98.5,98.1
2024年7月,98.7,97.9
2024年6月,98.9,97.6
