时间,国内生产总值(不变价)_当季值,国内生产总值(不变价)_累计值,第一产业增加值(不变价)_当季值,第一产业增加值(不变价)_累计值,第二产业增加值(不变价)_当季值,第二产业增加值(不变价)_累计值,第三产业增加值(不变价)_当季值,第三产业增加值(不变价)_累计值
2025年第二季度,323488.8,630101.0,20050.2,32205.5,119501.1,228768.2,183937.6,369127.3
2025年第一季度,306612.2,306612.2,12155.3,12155.3,109267.1,109267.1,185189.8,185189.8
2024年第四季度,358507.3,1282320.8,35053.7,93738.7,131063.3,464814.8,192390.3,723767.3
2024年第二季度,307393.2,598239.0,19314.4,31058.8,113995.9,217221.1,174082.9,349959.1
2024年第三季度,325574.5,923813.5,27626.2,58685.0,116530.4,333751.4,181417.9,531377.0
2024年第一季度,290845.8,290845.8,11744.4,11744.4,103225.1,103225.1,175876.2,175876.2
