时间,最终消费支出对国内生产总值增长贡献率_当季值,最终消费支出对国内生产总值增长贡献率_累计值,资本形成总额对国内生产总值增长贡献率_当季值,资本形成总额对国内生产总值增长贡献率_累计值,货物和服务净出口对国内生产总值增长贡献率_当季值,货物和服务净出口对国内生产总值增长贡献率_累计值
2025年第二季度,52.3,52.0,24.7,16.8,23.0,31.2
2025年第一季度,51.7,51.7,8.7,8.7,39.5,39.5
2024年第四季度,29.7,44.5,24.5,25.2,45.8,30.3
2024年第二季度,47.9,61.4,40.6,25.5,11.5,13.1
2024年第三季度,29.8,50.8,25.6,25.5,44.6,23.7
2024年第一季度,74.1,74.1,11.4,11.4,14.5,14.5
