时间,工业生产者出厂价格指数(上年同月=100),生产资料工业生产者出厂价格指数(上年同月=100),生活资料工业生产者出厂价格指数(上年同月=100)
2025年6月,96.4,95.6,98.6
2025年5月,96.7,96.0,98.6
2025年4月,97.3,96.9,98.4
2025年3月,97.5,97.2,98.5
2025年2月,97.8,97.5,98.8
2025年1月,97.7,97.4,98.8
2024年12月,97.7,97.4,98.6
2024年11月,97.5,97.1,98.6
2024年10月,97.1301,96.7,98.4
2024年9月,97.2,96.7,98.7
2024年8月,98.2,98.0,98.9
2024年7月,99.2,99.3,99.0
2024年6月,99.2,99.2,99.2
