时间,金属废料和碎屑加工处理工业生产者出厂价格指数(上年同月=100),非金属废料和碎屑加工处理工业生产者出厂价格指数(上年同月=100)
2025年6月,91.8,97.1
2025年5月,92.6,97.9
2025年4月,96.3,96.2
2025年3月,96.7,95.6
2025年2月,96.2,96.0
2025年1月,95.9,96.8
2024年9月,95.1,94.6
2024年8月,96.8,97.7
2024年7月,103.6,97.8
2024年6月,104.9,98.8
2024年12月,97.9,96.6
2024年11月,99.4,95.4
2024年10月,98.0,94.3
