时间,服装居民消费价格指数(上月=100),鞋类居民消费价格指数(上月=100)
2025年6月,99.9,99.9
2025年5月,100.6,100.6
2025年4月,99.9,100.0
2025年3月,100.7,100.7
2025年2月,99.9,100.1
2025年1月,99.6,99.7
2024年9月,100.8,100.6
2024年8月,99.8,99.7
2024年7月,99.7,99.5
2024年6月,99.8,99.6
2024年12月,100.2,100.1
2024年11月,100.6,100.4
2024年10月,100.1,99.8
