时间,卷烟产量_当期值,卷烟产量_累计值,卷烟产量_同比增长,卷烟产量_累计增长
2025年6月,1588.8,13756.5,8.7,0.8
2025年5月,1797.3,12167.8,-0.1,-0.1
2025年4月,1931.6,10370.5,-2.4,-0.1
2025年3月,1982.4,8439.0,-1.9,0.4
2025年2月,,6455.7,,1.2
2024年9月,2175.8,20347.6,-8.8,1.2
2024年8月,2216.8,18171.8,3.5,2.6
2024年7月,2313.2,15955.1,9.8,2.5
2024年6月,1461.4,13641.9,-9.7,1.3
2024年12月,850.2,24654.6,4.6,0.9
2024年11月,1665.2,23804.4,-7.7,0.8
2024年10月,1791.6,22139.2,4.7,1.5
