时间,线材（盘条）产量_当期值,线材（盘条）产量_累计值,线材（盘条）产量_同比增长,线材（盘条）产量_累计增长
2025年5月,1201.6,5619.3,-1.2,2.3
2025年4月,1169.6,4418.7,9.0,3.3
2025年3月,1231.7,3337.1,8.5,3.1
2024年12月,1119.4,13496.8,2.8,-2.3
2024年11月,1123.7,12375.3,0.5,-2.6
2024年10月,1212.7,11254.4,9.7,-2.9
2024年9月,1172.5,10033.0,-2.5,-4.2
2024年8月,1043.3,8856.8,-9.8,-4.5
2024年7月,1157.5,7881.1,-2.5,-2.9
2024年6月,1246.7,6734.3,2.4,-2.8
2025年2月,,2083.9,,-1.1
