时间,国家财政收入_累计值,国家财政收入_累计增长
2025年5月,96623.0,-0.3
2025年4月,80616.0,-0.4
2025年3月,60189.0,-1.1
2025年2月,43856.0,-1.6
2024年9月,163059.0,-2.2
2024年8月,147776.0,-2.6
2024年7月,135663.0,-2.6
2024年6月,115913.0,-2.8
2024年12月,219702.0,1.3
2024年11月,199010.0,-0.6
2024年10月,184981.0,-1.3
