时间,小型拖拉机产量_当期值,小型拖拉机产量_累计值,小型拖拉机产量_同比增长,小型拖拉机产量_累计增长
2025年5月,1.1,5.4,-8.3,-18.2
2025年4月,1.2,4.3,-14.3,-20.4
2025年3月,1.3258,3.098,-18.8,-27.9
2024年12月,1.2345,14.1284,-7.7,-15.1
2024年11月,1.1389,12.855,-8.3,-15.7
2024年10月,1.276,12.2432,8.3,-14.1
2024年9月,1.1728,10.9919,-7.7,-16.0
2024年8月,0.9374,9.7755,-35.7,-16.2
2024年7月,1.0134,8.8375,-16.7,-13.7
2024年6月,1.0608,7.8314,-15.4,-12.4
2025年2月,,1.8,,-33.3
