时间,房间空气调节器产量_当期值,房间空气调节器产量_累计值,房间空气调节器产量_同比增长,房间空气调节器产量_累计增长
2025年5月,2948.0,13490.9,1.6,5.9
2025年4月,3083.3,10531.4,1.6,7.2
2025年3月,3371.1874,7445.7592,11.9,9.7
2024年12月,2369.4996,26598.4421,12.9,9.7
2024年11月,1967.8795,24237.3704,27.0,9.4
2024年10月,1620.2386,22480.8909,14.0,8.2
2024年9月,1884.0908,21028.6026,10.7,8.0
2024年8月,1498.046,19139.1205,-9.4,7.8
2024年7月,2020.0778,17661.3196,-12.9,9.5
2024年6月,2805.2978,15705.6012,5.7,13.8
2025年2月,,4128.1,,9.0
