时间,生铁产量_当期值,生铁产量_累计值,生铁产量_同比增长,生铁产量_累计增长
2025年6月,7190.50765,43467.48423,-4.1,-0.8
2025年5月,7411.4,36274.3,-3.3,-0.1
2025年4月,7258.3,28884.6,0.7,0.8
2025年3月,7529.40146,21628.06222,3.1,0.8
2025年2月,,14075.3,,-0.5
2024年9月,6676.11746,64443.34887,-6.7,-4.6
2024年8月,6813.56335,57770.34192,-8.8,-4.3
2024年7月,7139.86576,50967.7988,-8.0,-3.7
2024年6月,7448.55048,43561.61011,-3.3,-3.6
2024年12月,6669.88918,85173.67067,9.4,-2.3
2024年11月,6748.29402,78276.79045,3.9,-3.5
2024年10月,7025.45157,71511.35946,1.4,-4.0
