时间,规模以上文化及相关产业企业资产总计_季末值,规模以上文化及相关产业企业资产总计_同比增长
2025年第一季度,213346.0,6.6
2024年第四季度,212825.0,5.9
2024年第二季度,201411.0,6.8
2024年第三季度,205454.0,5.2
2024年第一季度,197329.0,7.6
