时间,机织服装制造工业生产者出厂价格指数(上年同月=100),针织或钩针编织服装制造工业生产者出厂价格指数(上年同月=100),服饰制造工业生产者出厂价格指数(上年同月=100)
2025年6月,100.0,99.2,100.9
2025年5月,99.9,99.3,100.5
2025年4月,100.0,99.3,100.0
2025年3月,99.3,100.0,99.8
2025年2月,99.7,100.2,99.4
2025年1月,100.2,99.8,99.5
2024年12月,100.3,99.7,99.5
2024年11月,100.3,99.5,99.7
2024年10月,100.1,99.7,99.3
2024年9月,100.0,100.2,99.3
2024年8月,99.8,100.4,99.5
2024年7月,99.7,100.3,98.9
2024年6月,100.5,100.0,99.0
