时间,汽油产量_当期值,汽油产量_累计值,汽油产量_同比增长,汽油产量_累计增长
2025年5月,1242.7,6360.7,-9.5,-6.7
2025年4月,1216.0,5118.0,-8.6,-6.1
2025年3月,1322.0,3905.3,-6.1,-5.1
2024年12月,1234.0,16011.2,-2.9,1.6
2024年11月,1209.5,14777.2,-2.7,2.0
2024年10月,1323.7,13567.7,-3.8,2.6
2024年9月,1349.4,12253.4,-2.8,3.4
2024年8月,1371.4,10903.9,-4.0,4.4
2024年7月,1393.9,9676.7,-3.2,4.7
2024年6月,1370.2,8282.8,2.8,6.1
2025年2月,,2583.3,,-4.5
