时间,集成电路产量_当期值,集成电路产量_累计值,集成电路产量_同比增长,集成电路产量_累计增长
2025年6月,450.57854,2394.69611,15.8,8.7
2025年5月,423.5,1934.6,11.5,6.8
2025年4月,416.7,1508.9,4.0,5.4
2025年3月,419.71999,1094.65863,9.2,6.0
2025年2月,,767.2,,4.4
2024年9月,367.05164,3156.023,17.9,26.0
2024年8月,372.93902,2845.0558,17.8,26.6
2024年7月,375.40225,2444.52573,26.9,29.3
2024年6月,362.02451,2071.05491,12.8,28.9
2024年12月,427.74028,4514.22965,12.5,22.2
2024年11月,375.54123,3952.6928,8.7,23.1
2024年10月,358.58006,3529.9936,11.8,24.8
