时间,移动通信基站设备产量_当期值,移动通信基站设备产量_累计值,移动通信基站设备产量_同比增长,移动通信基站设备产量_累计增长
2025年6月,46.9852,226.8621,-34.4,-7.8
2025年5月,43.0,179.9,7.8,3.1
2025年4月,44.7,138.1,26.3,2.1
2025年3月,35.7382,92.208,-9.8,-8.3
2025年2月,,54.8,,-9.1
2024年9月,29.8342,329.4745,-20.3,-28.4
2024年8月,28.0473,309.5153,-28.4,-28.8
2024年7月,29.0474,317.2088,-39.5,-19.8
2024年6月,72.3714,288.0902,-5.0,-17.2
2024年12月,59.2629,455.7729,-16.8,-27.4
2024年11月,39.7814,396.5363,-27.9,-28.7
2024年10月,27.6331,356.4334,-37.6,-28.9
