时间,国有及国有控股建筑业企业合同金额_累计值,国有及国有控股建筑业企业上年结转合同金额_累计值,国有及国有控股建筑业企业本年新签合同金额_累计值
2024年第四季度,431225.0,256694.4,174530.6
2024年第二季度,335204.93,255246.78,79958.15
2024年第三季度,371867.62,256926.93,114940.69
2024年第一季度,289050.43,252776.57,36273.86
