时间,金属成形机床产量_当期值,金属成形机床产量_累计值,金属成形机床产量_同比增长,金属成形机床产量_累计增长
2025年6月,1.6,8.5,6.7,10.4
2025年5月,1.5,6.9,7.1,11.3
2025年4月,1.5,5.5,0.0,12.2
2025年3月,1.7,4.0,21.4,14.3
2025年2月,,2.3,,15.0
2024年9月,1.5,12.6,7.1,10.5
2024年8月,1.4,11.2,16.7,6.7
2024年7月,1.5,9.7,25.0,3.2
2024年6月,1.6,8.3,14.3,-6.7
2024年12月,1.6,16.0,14.3,7.4
2024年11月,1.4,14.4,7.7,4.3
2024年10月,1.4,13.6,7.7,7.1
