时间,建筑业企业签订合同金额_累计值,建筑业企业上年结转合同额_累计值,建筑业企业本年新签合同额_累计值
2025年第一季度,444493.53,378699.53,65794.01
2024年第四季度,727219.17,389718.65,337500.52
2024年第三季度,610426.96,387250.45,223176.51
2024年第二季度,533035.25,383910.2,149125.06
2024年第一季度,442519.03,375241.19,67277.84
2023年第四季度,724731.07,368690.88,356040.19
