时间,建筑业竣工房屋价值_累计值,住宅房屋竣工价值_累计值,商业及服务用房屋竣工价值_累计值,办公用房屋竣工价值_累计值,科研、教育和医疗用房屋竣工价值_累计值,文化、体育和娱乐用房屋竣工价值_累计值,厂房及建筑物竣工价值_累计值,仓库竣工价值_累计值,其他未列明的房屋建筑物竣工价值_累计值
2025年第一季度,12032.10791,6884.4124,961.75822,596.94785,706.15531,255.11244,2173.70466,108.30901,345.70802
2024年第四季度,78635.63297,44470.78501,5742.47224,3585.62951,6149.08729,1437.98371,13899.89133,561.10694,2788.67694
2024年第三季度,45927.05207,26055.71105,3173.64915,2230.25014,3594.20172,827.98475,8161.90021,353.02147,1530.33358
2024年第二季度,28944.28214,16608.52646,2007.54016,1416.09896,2043.39508,467.06542,5190.14446,225.89904,985.61256
2024年第一季度,12809.82293,7295.97337,904.93829,663.39134,870.92651,221.80955,2308.58557,108.04387,436.15443
2023年第四季度,81828.04776,48271.01509,6093.72094,3539.88005,5778.24682,1453.94604,12925.47777,643.31156,3122.44949
