时间,饲料产量_当期值,饲料产量_累计值,饲料产量_同比增长,饲料产量_累计增长
2025年6月,2937.7,16062.0,8.1,7.7
2025年5月,2762.1,13095.9,6.9,7.4
2025年4月,2664.0,10402.8,5.4,7.7
2025年3月,2777.2,7759.6,4.8,8.2
2025年2月,,4829.8,,9.7
2024年9月,2905.6,23161.3,1.2,-0.4
2024年8月,2788.5,20429.5,-2.0,-1.1
2024年7月,2668.6,17598.9,-2.1,-1.0
2024年6月,2717.6,15027.7,-2.4,-0.8
2024年12月,2843.6,31636.0,4.1,0.1
2024年11月,2836.8,28895.0,0.2,-0.1
2024年10月,2779.5,25913.8,-2.0,-0.7
