时间,专用设备制造业出口交货值_当期值,专用设备制造业出口交货值_累计值,专用设备制造业出口交货值_同比增长,专用设备制造业出口交货值_累计增长
2025年6月,593.8,3091.2,11.9,9.6
2025年5月,513.6,2497.7,7.3,9.0
2025年4月,502.5,1984.6,8.8,9.7
2025年3月,566.6,1480.1,13.0,10.7
2025年2月,,909.4,,9.4
2024年9月,544.1,4382.2,14.9,7.0
2024年8月,516.6,3832.1,13.7,5.8
2024年7月,497.1,3310.6,12.6,5.4
2024年6月,529.3,2812.1,5.2,4.8
2024年12月,645.0,6019.4,18.2,8.5
2024年11月,518.7,5365.2,10.6,7.3
2024年10月,477.7,4857.5,11.1,7.2
