时间,综合PMI产出指数
2025年6月,50.7
2025年5月,50.4
2025年4月,50.2
2025年3月,51.4
2025年2月,51.1
2025年1月,50.1
2024年12月,52.2
2024年11月,50.8
2024年10月,50.8
2024年9月,50.4
2024年8月,50.1
2024年7月,50.2
2024年6月,50.5
