时间,家用器具居民消费价格指数(上月=100),家庭服务居民消费价格指数(上月=100)
2025年6月,100.0,100.0
2025年5月,98.9,100.1
2025年4月,100.0,100.0
2025年3月,102.8,99.7
2025年2月,100.2,95.6
2025年1月,100.4,105.7
2024年9月,99.8,100.0
2024年8月,99.3,100.1
2024年7月,100.4,100.1
2024年6月,98.8,100.1
2024年12月,100.4,100.5
2024年11月,99.1,100.1
2024年10月,99.8,100.0
