时间,机制纸及纸板（外购原纸加工除外）产量_当期值,机制纸及纸板（外购原纸加工除外）产量_累计值,机制纸及纸板（外购原纸加工除外）产量_同比增长,机制纸及纸板（外购原纸加工除外）产量_累计增长
2025年5月,1371.5,6536.7,3.2,3.1
2025年4月,1348.4,5157.1,1.6,3.3
2025年3月,1455.29149,3819.0407,3.6,3.8
2024年12月,1440.85532,15846.89058,4.9,8.6
2024年11月,1376.59986,14418.07242,3.0,9.1
2024年10月,1346.88875,12993.9241,0.8,9.2
2024年9月,1333.33692,11632.89001,2.5,10.2
2024年8月,1375.37642,10317.88881,10.0,11.7
2024年7月,1316.5951,8957.87663,9.9,11.8
2024年6月,1353.59896,7661.28809,7.6,11.8
2025年2月,,2392.6,,6.7
