时间,国有及国有控股建筑业企业单位数_累计值,国有及国有控股建筑业企业直接从事生产经营活动的平均人数_累计值,国有及国有控股建筑业按总产值计算劳动生产率_累计值,国有及国有控股建筑业企业建筑业人均竣工产值_累计值,国有及国有控股建筑业企业建筑业人均施工面积_累计值,国有及国有控股建筑业企业人员数_累计值
2024年第四季度,10924.0,1804.58,779899.0,263249.0,320.9,
2024年第二季度,10050.0,1463.64,420176.0,106876.0,338.4,1034.94
2024年第三季度,10462.0,1648.29,579065.0,156209.0,327.8,1093.56
2024年第一季度,9111.0,1202.03,196775.0,57898.0,361.1,920.82
