时间,生产资料工业生产者出厂价格指数(上月=100),采掘业生产资料工业生产者出厂价格指数(上月=100),原料业生产资料工业生产者出厂价格指数(上月=100),加工业生产资料工业生产者出厂价格指数(上月=100)
2025年6月,99.4,98.8,99.3,99.5
2025年5月,99.4,97.5,99.1,99.7
2025年4月,99.5,97.9,99.0,99.8
2025年3月,99.6,97.1,99.4,99.9
2025年2月,99.8,98.7,100.1,99.8
2025年1月,99.8,99.8,100.0,99.7
2024年9月,99.2,98.4,98.8,99.4
2024年8月,99.0,98.4,98.8,99.1
2024年7月,99.7,100.7,99.8,99.6
2024年6月,99.8,100.3,99.5,99.9
2024年12月,100.0,99.2,100.3,99.9
2024年11月,100.1,99.9,100.2,100.1
2024年10月,100.1,99.7,99.6,100.3
