时间,石油和天然气开采专业及辅助性活动工业生产者出厂价格指数(上年同月=100)
2025年6月,98.2
2025年5月,99.5
2025年4月,98.9
2025年3月,99.8
2025年2月,98.2
2025年1月,98.6
2024年12月,98.4
2024年11月,98.9
2024年10月,98.8
2024年9月,98.8
2024年8月,98.8
2024年7月,98.5
2024年6月,98.7
