时间,房屋建筑竣工面积_累计值,住宅房屋竣工面积_累计值,商业及服务用房屋竣工面积_累计值,办公用房屋竣工面积_累计值,科研、教育和医疗用房屋竣工面积_累计值,文化、体育和娱乐用房屋竣工面积_累计值,厂房及建筑物竣工面积_累计值,仓库竣工面积_累计值,其他未列明的房屋建筑物竣工面积_累计值
2025年第一季度,56804.4429,32877.078,3972.9119,2266.4272,2437.2289,741.5852,12100.9581,629.2709,1778.9827
2024年第四季度,343725.4661,202399.6575,21719.4331,12785.7958,19059.9055,4486.6858,69138.8148,2508.3083,11626.8653
2024年第三季度,208447.3942,123084.1096,12564.728,8135.3386,11234.2085,2634.9438,41840.3575,1566.9134,7386.7948
2024年第二季度,135074.6117,79777.4757,8690.8532,5240.0291,6815.7815,1658.657,26758.0538,1063.5242,5070.2372
2024年第一季度,63275.1299,36979.8142,4157.9441,2546.0138,2946.6149,800.738,12874.4628,540.8766,2428.6655
2023年第四季度,385587.8952,234389.0452,25717.5322,13618.3729,19335.8006,4402.3401,69694.5083,3296.1181,15134.1778
