时间,合成橡胶产量_当期值,合成橡胶产量_累计值,合成橡胶产量_同比增长,合成橡胶产量_累计增长
2025年6月,70.3,423.1,3.7,5.4
2025年5月,69.9,353.4,3.7,6.2
2025年4月,74.3,294.7,15.2,11.3
2025年3月,85.6,233.0,18.1,10.5
2025年2月,,161.5,,15.3
2024年9月,80.3,667.9,-4.7,0.5
2024年8月,79.1,588.5,-1.4,1.7
2024年7月,80.1,516.0,6.5,2.9
2024年6月,77.7,438.5,5.0,2.0
2024年12月,88.1,921.9,10.7,1.4
2024年11月,83.8,837.9,4.2,0.9
2024年10月,81.2,752.0,-5.0,0.0
