时间,运动型多用途乘用车（SUV）产量_当期值,运动型多用途乘用车（SUV）产量_累计值,运动型多用途乘用车（SUV）产量_同比增长,运动型多用途乘用车（SUV）产量_累计增长
2025年5月,110.7,533.3,10.5,9.2
2025年4月,106.8,422.5,11.4,8.9
2025年3月,125.1,315.4,4.9,8.0
2024年12月,154.0,1358.2,24.6,10.3
2024年11月,157.1,1209.1,26.0,9.8
2024年10月,135.2,1051.4,18.2,8.2
2024年9月,123.1,916.2,5.3,7.8
2024年8月,108.6,796.3,6.2,9.5
2024年7月,98.5,668.1,2.0,9.1
2024年6月,104.9,568.1,1.9,10.4
2025年2月,,185.9,,7.6
