时间,工业产能利用率_当季值,工业产能利用率_比上年同期增减,工业产能利用率_采矿业_当季值,工业产能利用率_采矿业_比上年同期增减,工业产能利用率_制造业_当季值,工业产能利用率_制造业_比上年同期增减,工业产能利用率_电力、热力、燃气及水生产和供应业_当季值,工业产能利用率_电力、热力、燃气及水生产和供应业_比上年同期增减,工业产能利用率_累计值,工业产能利用率_比上年同期累计增减,工业产能利用率_采矿业_累计值,工业产能利用率_采矿业_比上年同期累计增减,工业产能利用率_制造业_累计值,工业产能利用率_制造业_比上年同期累计增减,工业产能利用率_电力、热力、燃气及水生产和供应业_累计值,工业产能利用率_电力、热力、燃气及水生产和供应业_比上年同期累计增减
2025年第一季度,74.059057021,0.5,74.6193909181,-0.4,74.081852281,0.3,73.6142586528,2.4,,,,,,,,
2024年第四季度,76.2,0.3,75.6,-1.5,76.4,0.4,74.8,0.4,75.0,-0.1,75.3,-0.3,75.2,-0.1,73.0,0.0
2024年第二季度,74.9,0.4,76.0,1.2,75.2,0.4,71.4,0.0,74.3,-0.1,75.5,0.5,74.5,-0.2,71.3,-0.4
2024年第三季度,75.1,-0.5,74.6,-0.8,75.2,-0.6,74.3,0.1,74.6,-0.2,75.2,0.1,74.8,-0.2,72.3,-0.2
2024年第一季度,73.6,-0.7,75.0,-0.2,73.8,-0.7,71.2,-0.7,,,,,,,,
2023年第四季度,75.9,0.2,77.1,0.6,76.0,0.2,74.4,0.4,75.1,-0.5,75.6,-1.2,75.3,-0.5,73.0,0.2
