时间,光电子器件产量_当期值,光电子器件产量_累计值,光电子器件产量_同比增长,光电子器件产量_累计增长
2025年5月,1725.3,7664.1,0.9,1.9
2025年4月,1623.3,5967.0,-0.6,2.3
2025年3月,1638.7,4325.0,0.9,3.5
2024年12月,1745.3,18479.7,10.9,16.1
2024年11月,1536.1,16263.7,7.2,14.7
2024年10月,1336.6,14704.1,-6.8,15.2
2024年9月,1453.2,13718.4,5.9,21.4
2024年8月,1534.6,12285.1,5.3,24.4
2024年7月,1542.3,10706.0,8.9,22.7
2024年6月,1691.3,9173.4,21.7,25.1
2025年2月,,2660.7,,2.5
