时间,生产资料工业生产者出厂价格指数(上年同月=100),采掘业生产资料工业生产者出厂价格指数(上年同月=100),原料业生产资料工业生产者出厂价格指数(上年同月=100),加工业生产资料工业生产者出厂价格指数(上年同月=100)
2025年6月,95.6,86.8,94.5,96.8
2025年5月,96.0,88.1,94.6,97.2
2025年4月,96.9,90.6,96.4,97.7
2025年3月,97.2,91.7,97.6,97.4
2025年2月,97.5,93.7,98.5,97.3
2025年1月,97.4,95.1,98.1,97.3
2024年9月,96.7,97.5,96.8,96.7
2024年8月,98.0,100.9,99.2,97.3
2024年7月,99.3,103.5,101.8,97.9
2024年6月,99.2,102.7,101.6,98.0
2024年12月,97.4,95.4,97.8,97.3
2024年11月,97.1,95.1,97.1,97.3
2024年10月,96.7,94.9,96.0,97.1
