时间,挖掘机产量_当期值,挖掘机产量_累计值,挖掘机产量_同比增长,挖掘机产量_累计增长
2025年5月,25845.0,140575.0,11.1,13.9
2025年4月,26022.0,106394.0,13.0,14.3
2025年3月,33172.0,80278.0,12.4,14.6
2024年12月,28754.0,299338.0,30.5,26.4
2024年11月,27189.0,269833.0,44.0,25.7
2024年10月,25182.0,242645.0,45.2,23.9
2024年9月,25699.0,217461.0,69.1,21.9
2024年8月,22465.0,190758.0,67.3,16.7
2024年7月,19965.0,168624.0,50.7,12.4
2024年6月,24866.0,148655.0,22.2,7.7
2025年2月,,47015.0,,16.9
