时间,其他采矿业出口交货值_当期值,其他采矿业出口交货值_累计值,其他采矿业出口交货值_同比增长,其他采矿业出口交货值_累计增长
2025年6月,0.0,0.0,0.0,0.0
2025年5月,0.0,0.0,0.0,0.0
2025年4月,0.0,0.0,0.0,0.0
2025年3月,0.0,0.0,0.0,0.0
2025年2月,,0.0,,0.0
2024年9月,0.0,0.0,0.0,0.0
2024年8月,0.0,0.0,0.0,0.0
2024年7月,0.0,0.0,0.0,0.0
2024年6月,0.0,0.0,0.0,0.0
2024年12月,0.0,0.0,0.0,0.0
2024年11月,0.0,0.0,0.0,0.0
2024年10月,0.0,0.0,0.0,0.0
