时间,家用器具居民消费价格指数(上年同期=100),家庭服务居民消费价格指数(上年同期=100)
2025年6月,98.9,102.2
2025年5月,98.5,102.3
2025年4月,98.2,102.5
2025年3月,97.6,102.7
2025年2月,96.6,103.2
2024年9月,99.0,101.8
2024年8月,99.1,101.8
2024年7月,99.2,101.8
2024年6月,99.4,101.8
2024年12月,98.4,101.7
2024年11月,98.6,101.7
2024年10月,98.7,101.7
